年度,月份,樣品編號,試驗項目,地點,pH,有機質,P2O5,K2O,CaO,MgO,EC,Fe,Mn,Cu,Zn,Pb,Cd,Ni,Cr,Na,Si
"2016","5","10505066","小米.紅蔾.芋頭.洛神","歷坵406","6.39","2.01","8.63","77.01","804.13","109.10","0.03","62.60","32.51","3.05","0.57","*","*","*","*","*","*"
"2016","5","10505067","小米.紅蔾.芋頭.洛神","歷坵417","6.09","2.15","39.69","156.70","1170.67","147.29","0.06","304.28","44.85","3.36","3.02","*","*","*","*","*","*"
"2016","5","10505068","鳳梨","","6.44","2.43","44.76","392.56","3228.57","604.72","0.06","219.72","105.57","4.67","6.47","*","*","*","*","*","*"
"2016","5","10505069","荖葉","岩灣","5.90","2.18","283.67","137.09","8089.24","415.64","0.70","472.39","147.93","73.99","61.80","*","*","*","*","*","*"
"2016","5","10505070","荖葉","","6.36","2.38","398.97","88.75","7425.24","400.35","0.16","710.43","91.20","22.70","59.49","*","*","*","*","*","*"
"2016","5","10504071","苦茶樹","鹿野段 799-255","5.59","1.46","76.81","71.50","147.99","31.94","0.04","141.39","40.83","1.91","0.59","*","*","*","*","*","*"
"2016","5","10505072","果樹","鹿野段 840-6.840-15","5.46","1.42","26.37","60.68","154.86","27.57","0.06","56.51","30.80","1.65","未檢出","*","*","*","*","*","*"
"2016","5","10505073","洛神葵","本場","6.30","3.63","57.17","163.27","2274.41","129.85","0.30","535.64","2.75","11.31","6.07","*","*","*","*","*","*"
"2016","5","10505074","洛神葵","本場","5.87","3.62","55.87","163.03","2280.62","132.57","0.22","452.71","1.82","10.99","5.41","*","*","*","*","*","*"
"2016","5","10505075","洛神葵","本場","6.00","3.62","55.07","162.40","2525.72","140.05","0.27","476.50","2.25","11.42","5.60","*","*","*","*","*","*"
"2016","5","10505076","洛神葵","本場","5.79","3.50","62.47","147.27","2144.39","117.16","0.22","360.89","1.30","10.58","6.07","*","*","*","*","*","*"
"2016","5","10505077","洛神葵","本場","5.81","3.42","59.82","162.86","2381.38","136.53","0.30","476.06","1.96","11.14","8.85","*","*","*","*","*","*"
"2016","5","10505078","洛神葵","本場","5.85","3.38","61.25","152.00","2408.54","138.18","0.26","467.17","2.35","11.11","5.71","*","*","*","*","*","*"
"2016","5","10505079","洛神葵","本場","5.76","3.26","56.29","135.41","2381.15","128.66","0.29","412.27","1.63","11.16","6.28","*","*","*","*","*","*"
"2016","5","10505080","洛神葵","本場","5.82","3.55","63.01","142.10","2516.04","133.89","0.26","462.03","1.62","10.93","5.54","*","*","*","*","*","*"
"2016","5","10505081","洛神葵","本場","5.84","3.72","60.17","145.97","2370.02","131.01","0.24","454.57","1.58","10.91","5.60","*","*","*","*","*","*"
"2016","5","10505082","洛神葵","本場","5.81","3.32","58.03","129.56","2580.19","134.76","0.25","465.11","1.75","11.29","3.54","*","*","*","*","*","*"
"2016","5","10505083","洛神葵","本場","5.93","3.48","60.61","124.97","2325.31","123.08","0.04","497.10","1.51","11.38","4.59","*","*","*","*","*","*"
"2016","5","10505084","洛神葵","本場","5.94","3.32","60.90","119.85","2375.75","122.13","0.19","489.93","2.81","11.60","4.59","*","*","*","*","*","*"
"2016","5","10505085","洛神葵","本場","5.96","3.19","51.39","139.75","2422.66","132.82","0.29","484.83","2.59","10.96","6.48","*","*","*","*","*","*"
"2016","5","10505086","洛神葵","本場","5.97","3.32","55.87","111.25","2428.88","135.60","0.30","429.67","2.65","10.69","3.06","*","*","*","*","*","*"
"2016","5","10505087","洛神葵","本場","5.95","3.57","64.85","179.43","2363.95","143.03","0.29","617.57","3.72","10.51","3.85","*","*","*","*","*","*"
"2016","5","10505088","洛神葵","本場","6.00","3.21","55.65","115.03","2499.00","128.11","0.26","571.51","2.69","10.43","3.61","*","*","*","*","*","*"
"2016","5","10505089","洛神葵","本場","5.98","3.23","65.05","143.72","2417.57","133.06","0.22","565.71","2.71","10.55","6.32","*","*","*","*","*","*"
"2016","5","10505090","洛神葵","本場","5.95","2.93","54.23","113.17","2674.38","137.81","0.28","423.96","2.51","10.28","3.52","*","*","*","*","*","*"
"2016","5","10505091","洛神葵","本場","5.90","3.48","71.68","137.49","2597.97","153.18","0.28","557.09","3.68","10.80","3.70","*","*","*","*","*","*"
"2016","5","10505092","洛神葵","本場","5.91","3.32","69.03","145.39","2479.78","144.84","0.28","576.30","2.45","10.62","4.94","*","*","*","*","*","*"
"2016","5","10505093","洛神葵","本場","5.90","3.19","59.85","154.55","2569.14","150.14","0.30","546.77","3.68","10.84","5.90","*","*","*","*","*","*"
"2016","5","10505094","洛神葵","本場","5.98","3.33","64.58","129.70","2453.48","130.79","0.20","535.80","2.63","10.88","5.22","*","*","*","*","*","*"
"2016","5","10505095","洛神葵","本場","5.99","3.35","58.11","119.68","2576.96","133.68","0.27","566.39","3.20","11.00","6.32","*","*","*","*","*","*"
"2016","5","10505096","洛神葵","本場","6.00","3.39","61.10","141.79","2539.26","137.43","0.29","567.89","3.44","10.46","4.76","*","*","*","*","*","*"
"2016","5","10505097","洛神葵","本場","5.95","3.16","62.63","116.82","2637.30","136.46","0.33","758.02","4.33","10.95","4.70","*","*","*","*","*","*"
"2016","5","10505098","洛神葵","本場","6.06","3.12","55.16","119.13","2623.00","128.22","0.23","705.48","4.31","11.25","5.55","*","*","*","*","*","*"
"2016","5","10505099","洛神葵","本場","6.03","3.40","62.53","130.41","2722.55","138.77","0.29","611.26","3.26","10.94","5.92","*","*","*","*","*","*"
"2016","5","10505100","洛神葵","本場","6.10","3.11","70.08","109.10","2390.64","127.12","0.20","789.87","4.12","11.04","4.94","*","*","*","*","*","*"
"2016","5","10505101","洛神葵","本場","6.03","3.23","67.88","110.97","2559.65","132.63","0.25","703.18","4.06","10.73","5.04","*","*","*","*","*","*"
"2016","5","10505102","洛神葵","本場","6.06","3.26","74.00","148.32","2587.05","144.06","0.25","858.07","5.00","10.91","4.55","*","*","*","*","*","*"
"2016","5","10505103","洛神葵","本場","6.46","2.99","52.54","112.21","2719.90","130.74","0.25","690.54","3.67","10.31","3.76","*","*","*","*","*","*"
"2016","5","10505104","洛神葵","本場","6.43","3.08","55.87","111.38","2596.66","126.03","0.26","468.94","2.94","9.47","3.12","*","*","*","*","*","*"
"2016","5","10505105","洛神葵","本場","6.20","3.50","57.99","100.05","2552.50","133.25","0.24","739.01","3.63","10.64","3.75","*","*","*","*","*","*"
"2016","5","10505106","洛神葵","本場","6.12","3.24","61.64","121.34","2543.53","138.00","0.23","948.57","5.92","10.66","4.15","*","*","*","*","*","*"
"2016","5","10505107","洛神葵","本場","6.14","3.34","56.07","192.12","2553.10","132.94","0.29","582.45","3.89","10.33","3.62","*","*","*","*","*","*"
"2016","5","10505108","洛神葵","本場","6.15","4.63","50.29","111.94","2647.53","132.50","0.37","659.62","4.01","10.72","3.70","*","*","*","*","*","*"
"2016","5","10505109","蔬菜","豐里段 0163-0000","6.36","1.76","112.45","108.02","3301.49","256.40","0.21","179.63","106.29","35.59","21.22","*","*","*","*","*","*"
"2016","5","10505110","布福娜水果","豐里段 0163-0000","6.42","0.87","48.44","37.74","2457.95","198.02","0.41","254.45","56.95","11.43","5.90","*","*","*","*","*","*"
"2016","5","10505111","黃皮果","豐里段 0163-0000","6.46","0.61","25.51","30.72","2208.52","283.10","0.38","452.46","68.04","9.38","10.75","*","*","*","*","*","*"
"2016","5","10505112","金針","大原段  1961號","6.67","2.79","22.02","70.78","2667.79","141.15","0.13","668.05","95.82","9.16","6.64","*","*","*","*","*","*"
"2016","5","10505113","荖葉","豐樂段","6.08","0.68","43.41","396.97","7073.23","1373.22","3.78","304.26","48.83","8.06","7.40","*","*","*","*","*","*"
"2016","5","10505114","釋迦","利吉","7.20","2.00","5.75","203.17","5337.30","852.21","0.08","465.52","190.28","4.32","7.25","*","*","*","*","*","*"
"2016","5","10505115","釋迦","利吉","7.06","3.17","17.39","210.68","4401.16","696.20","0.07","637.28","183.87","8.07","11.68","*","*","*","*","*","*"
"2016","5","10505116","釋迦","利吉","7.05","2.26","25.97","202.78","3826.06","536.72","0.05","538.94","183.95","6.54","11.44","*","*","*","*","*","*"
"2016","5","10505117","釋迦","利吉","6.91","3.23","17.39","416.84","5119.00","520.43","0.07","257.62","140.77","3.65","5.97","*","*","*","*","*","*"
"2016","5","10505118","蕃茄","都蘭","7.06","2.84","21.11","179.41","2633.56","672.65","0.03","64.10","37.82","2.36","0.79","*","*","*","*","*","*"
"2016","5","10505119","蔬菜","附小","6.94","1.46","49.84","109.96","7800.98","229.93","0.06","266.29","156.32","4.62","13.89","*","*","*","*","*","*"
"2016","5","10505120","鳳梨釋迦","新園段","6.96","1.43","131.59","78.54","3191.53","118.43","0.05","122.05","68.57","4.51","11.52","*","*","*","*","*","*"
"2016","5","10505121","荖葉","秀山段565(荒野)","6.10","1.53","302.11","221.74","2723.98","250.63","0.75","398.94","26.11","19.08","25.86","*","*","*","*","*","*"
"2016","5","10505122","荖葉","建康段1215(知本)","6.16","2.46","399.75","234.11","3604.68","207.22","0.64","383.19","64.29","26.74","40.96","*","*","*","*","*","*"
"2016","5","10505123","荖葉","建華段9581015(建東)","5.88","1.62","260.72","407.67","5169.43","302.24","1.46","384.01","90.29","33.18","25.69","*","*","*","*","*","*"
"2016","5","10505124","釋迦","豐聖段550-3","6.91","1.25","134.38","64.24","1400.11","100.98","0.06","205.22","25.38","5.40","16.19","*","*","*","*","*","*"
"2016","5","10505125","釋迦","豐聖段548-1","6.63","1.16","344.34","97.38","1170.36","74.14","0.05","471.03","18.37","14.25","6.41","*","*","*","*","*","*"
"2016","5","10505126","釋迦","豐聖段588","6.55","1.73","371.22","83.67","2562.48","161.29","0.07","277.29","43.63","5.33","12.73","*","*","*","*","*","*"
"2016","5","10505127","釋迦","豐聖段552","6.48","1.30","150.82","163.44","8048.03","375.89","0.12","280.30","110.97","13.50","10.04","*","*","*","*","*","*"
"2016","5","10505128","釋迦","豐聖段550-2","6.70","0.99","157.45","90.52","1759.09","102.69","0.07","270.86","28.02","6.78","3.87","*","*","*","*","*","*"
"2016","5","10505129","釋迦","豐聖段550-2","5.61","1.46","314.63","79.73","1078.25","68.16","0.10","434.86","17.14","8.75","3.79","*","*","*","*","*","*"
"2016","5","10505130","釋迦","豐聖段550-2","6.01","0.75","129.45","55.76","1324.49","89.07","0.05","180.83","26.11","3.36","2.23","*","*","*","*","*","*"
"2016","5","10505131","番荔枝","上原段252-9","6.21","1.35","11.50","98.35","3722.39","379.68","0.09","319.44","134.70","4.40","7.04","*","*","*","*","*","*"
"2016","5","10505132","番荔枝","上原段27-1","6.70","1.08","10.15","83.15","1919.34","609.28","0.05","518.61","72.69","3.02","3.14","*","*","*","*","*","*"
"2016","5","10505133","番荔枝","福德段416","6.54","0.83","23.13","68.62","1046.21","210.86","0.03","134.04","12.40","2.16","3.11","*","*","*","*","*","*"
"2016","5","10505134","番荔枝","福德段1044","6.44","1.14","50.60","91.08","12953.56","493.86","0.08","316.07","173.73","5.78","7.28","*","*","*","*","*","*"
"2016","5","10505135","稻米(育苗)","關山","6.17","1.61","52.12","549.88","5848.04","522.86","1.30","873.78","153.71","8.47","4.69","*","*","*","*","*","*"
"2016","5","10505136","鳳梨","北佳里段 0753-0000 地號","5.52","3.28","212.62","253.98","1292.54","70.14","0.11","36.58","20.85","0.11","2.20","*","*","*","*","*","*"
"2016","5","10505137","鳳梨","北佳里段 0758-0000 地號","5.07","2.95","307.71","288.14","1075.53","62.05","0.15","57.21","19.10","0.44","2.34","*","*","*","*","*","*"
"2016","5","10505138","鳳梨","延平康源段0874-0000","4.82","4.05","28.72","52.09","63.51","6.77","0.08","68.00","18.30","2.83","0.50","*","*","*","*","*","*"
"2016","5","10505139","鳳梨","延平康源段0874-0000","4.60","2.78","190.22","73.67","151.35","17.19","0.05","259.60","22.69","3.57","6.91","*","*","*","*","*","*"
"2016","5","10505140","生薑、荖葉","泰和段508-2","5.90","2.54","363.59","82.05","26313.97","709.52","0.16","未檢出","96.89","2.55","15.78","*","*","*","*","*","*"
"2016","5","10505141","生薑、荖葉","泰和段508-3","6.10","2.37","160.70","157.80","14453.89","554.96","0.13","10.03","117.62","3.40","17.87","*","*","*","*","*","*"
"2016","5","10505142","生薑、荖葉","泰和段508-5","6.27","1.87","318.95","337.94","5774.37","298.79","0.22","77.03","98.13","6.10","28.63","*","*","*","*","*","*"
"2016","5","10505143","生薑、荖葉","泰和段508-6","6.39","1.50","266.19","171.50","4358.62","155.63","0.12","84.15","42.87","2.69","12.77","*","*","*","*","*","*"
"2016","5","10505144","釋迦","","4.96","2.03","464.38","1568.81","828.68","142.34","0.80","738.01","39.63","7.88","5.46","*","*","*","*","*","*"
"2016","5","10505145","釋迦","","4.89","1.26","352.48","759.80","1112.25","94.10","0.37","423.00","49.84","9.05","6.49","*","*","*","*","*","*"
"2016","5","10505146","釋迦","","4.43","3.36","439.72","458.11","916.29","104.34","0.25","785.44","9.23","8.99","5.17","*","*","*","*","*","*"
"2016","5","10505147","釋迦","","4.49","3.13","514.14","388.68","1316.51","149.61","0.24","732.17","37.78","8.88","9.18","*","*","*","*","*","*"
"2016","5","10505148","釋迦","","4.39","3.08","500.16","338.48","1588.26","244.81","0.39","727.23","34.79","11.23","10.01","*","*","*","*","*","*"
"2016","5","10505149","釋迦","","6.11","2.18","536.28","1439.87","1685.53","252.44","0.47","684.27","156.99","6.87","15.32","*","*","*","*","*","*"
"2016","5","10505150","釋迦","","5.29","4.19","586.12","421.86","5002.12","144.96","0.56","668.29","93.12","10.39","33.47","*","*","*","*","*","*"
"2016","5","10505151","釋迦","","4.95","3.02","696.58","199.48","1597.82","73.69","0.12","706.86","21.24","11.17","10.49","*","*","*","*","*","*"
"2016","5","10505152","釋迦","","3.94","1.58","631.50","407.90","840.77","91.20","0.48","498.46","31.31","4.86","2.90","*","*","*","*","*","*"
"2016","5","10505153","釋迦","","4.50","2.09","573.08","1621.72","1181.28","200.77","1.00","580.95","63.59","5.14","6.88","*","*","*","*","*","*"
"2016","5","10505154","釋迦","","4.74","2.56","714.22","496.95","2156.78","142.10","0.28","528.52","82.24","7.14","13.57","*","*","*","*","*","*"
"2016","5","10505155","釋迦","","4.93","1.68","558.64","542.07","1542.01","121.31","0.21","352.13","74.91","6.89","10.40","*","*","*","*","*","*"
"2016","5","10505156","釋迦","","5.55","3.22","721.44","1021.39","3530.39","228.48","0.33","520.21","67.45","10.80","25.15","*","*","*","*","*","*"
"2016","5","10505157","釋迦","","4.69","1.41","524.94","261.57","958.08","100.47","0.05","457.52","41.70","5.59","3.45","*","*","*","*","*","*"
"2016","5","10505158","釋迦","","4.80","1.42","371.59","367.58","930.69","101.40","0.33","497.61","55.91","5.45","4.29","*","*","*","*","*","*"
"2016","5","10505159","釋迦","","4.91","1.25","296.44","628.33","889.13","109.55","0.05","335.01","60.44","6.74","4.46","*","*","*","*","*","*"
"2016","5","10505160","釋迦","","4.69","2.03","534.74","501.79","1595.10","166.40","0.33","573.08","43.72","6.96","10.90","*","*","*","*","*","*"
"2016","5","10505161","釋迦","","4.41","1.39","267.20","1265.16","558.17","130.18","0.65","585.80","36.30","4.58","1.72","*","*","*","*","*","*"
"2016","5","10505162","釋迦","","5.84","6.44","640.54","2007.06","8652.52","874.02","0.85","323.35","126.13","3.64","48.13","*","*","*","*","*","*"
"2016","5","10505163","釋迦","","6.49","6.79","424.26","492.42","16577.45","1164.72","0.20","110.70","233.19","8.01","64.79","*","*","*","*","*","*"
"2016","5","10505164","釋迦","","6.64","6.85","609.54","1562.55","17280.66","2126.58","0.51","69.56","210.24","0.69","95.35","*","*","*","*","*","*"
"2016","5","10505165","釋迦","","6.98","6.42","628.12","4216.88","17454.58","5217.63","1.47","未檢出","219.23","0.59","33.18","*","*","*","*","*","*"
"2016","5","10505166","釋迦","","6.79","4.81","574.36","1967.26","6778.43","1361.33","0.97","44.74","303.43","2.81","15.56","*","*","*","*","*","*"
"2016","5","10505167","釋迦","","6.88","6.43","638.52","2229.16","11253.53","3298.14","1.10","未檢出","271.10","2.02","22.51","*","*","*","*","*","*"
"2016","5","10505168","釋迦","","6.28","2.69","186.71","276.37","1583.53","201.89","0.10","170.53","83.66","4.28","7.85","*","*","*","*","*","*"
"2016","5","10505169","釋迦","","6.14","3.37","528.86","288.54","4013.73","213.91","0.19","579.93","58.73","10.50","19.60","*","*","*","*","*","*"
"2016","5","10505170","釋迦","","6.12","5.29","596.32","490.97","5713.10","306.26","0.27","617.78","89.47","10.03","29.27","*","*","*","*","*","*"
"2016","5","10505171","釋迦","","6.06","8.16","937.24","2159.08","10395.34","1338.09","1.19","351.00","142.88","3.81","62.75","*","*","*","*","*","*"
"2016","5","10505172","釋迦","","6.56","8.48","1134.00","6375.45","24188.56","3556.15","3.09","47.44","295.77","0.34","154.97","*","*","*","*","*","*"
"2016","5","10505173","釋迦","","6.55","4.72","829.88","1661.87","4021.69","627.27","0.96","83.16","175.22","1.23","26.08","*","*","*","*","*","*"
"2016","5","10505174","釋迦","","6.18","3.40","522.38","333.24","2409.22","264.90","0.31","295.23","93.11","7.18","14.21","*","*","*","*","*","*"
"2016","5","10505175","釋迦","","5.57","4.89","949.96","723.87","3441.64","374.14","0.55","399.14","108.20","4.25","17.48","*","*","*","*","*","*"
"2016","5","10505176","釋迦","","5.50","2.15","743.12","290.93","1379.04","173.72","0.14","232.31","60.85","3.34","7.62","*","*","*","*","*","*"
"2016","5","10505177","釋迦","","5.34","3.92","1067.32","604.69","4264.88","327.78","0.27","853.47","74.09","7.68","27.87","*","*","*","*","*","*"
"2016","5","10505178","釋迦","","5.98","7.37","848.24","2268.25","8745.83","1210.06","1.21","98.37","242.05","2.03","61.22","*","*","*","*","*","*"
"2016","5","10505179","釋迦","","6.36","6.91","840.08","1406.11","7695.71","930.84","0.39","100.79","241.82","1.47","48.88","*","*","*","*","*","*"
"2016","5","10505180","","","6.56","2.01","42.36","147.79","3079.17","171.71","0.04","374.92","103.58","8.40","17.68","*","*","*","*","*","*"
"2016","5","10505181","茶葉","明峰段 201-1-2","5.19","4.65","527.10","454.16","606.18","134.05","0.05","94.71","59.72","2.27","5.42","*","*","*","*","*","*"
"2016","5","10505182","荖葉","知本","5.75","3.04","875.18","222.23","9217.58","330.51","0.30","334.29","138.74","57.70","83.37","*","*","*","*","*","*"
"2016","5","10505183","果樹","青林段1436-0002","5.77","1.74","119.67","123.39","1042.53","146.00","0.07","129.26","42.72","2.46","10.10","*","*","*","*","*","*"
"2016","5","10505184","果樹","青林段1436-0002","5.34","1.63","117.90","106.49","798.84","126.97","0.11","117.84","41.05","2.08","4.18","*","*","*","*","*","*"
"2016","4","10504001","水稻","永安段","5.17","3.61","64.93","208.80","2610.50","74.53","0.22","593.68","10.32","11.40","7.27","18.74","0.02","3.08","未檢出","*","*"
"2016","4","10504002","水稻","永安段","5.78","3.04","32.59","216.69","5897.67","340.70","0.28","855.83","120.05","13.87","4.33","18.01","0.00","2.56","未檢出","*","*"
"2016","4","10504003","水稻","大原段","6.09","2.29","13.21","173.62","23077.58","173.32","0.37","915.57","251.37","12.33","9.73","12.36","未檢出","4.25","未檢出","*","*"
"2016","4","10504004","水稻","水源段","6.16","3.80","56.79","162.44","5521.50","115.06","0.29","781.53","66.77","13.03","13.62","16.82","0.02","2.76","0.02","*","*"
"2016","4","10504005","水稻","水源段","6.01","3.97","51.16","195.75","2628.43","74.03","0.29","449.82","8.05","9.31","6.12","17.50","0.01","2.70","未檢出","*","*"
"2016","4","10504006","水稻","隆昌段","6.00","4.01","21.07","167.37","2246.83","163.95","0.14","528.91","8.47","11.13","6.06","15.03","未檢出","4.17","未檢出","*","*"
"2016","4","10504007","水稻","新源段","5.82","4.23","40.69","168.38","2702.57","76.69","0.28","315.25","2.15","12.06","5.49","18.55","未檢出","2.29","未檢出","*","*"
"2016","4","10504008","水稻","新源段","6.05","4.23","26.71","161.23","3325.26","143.67","0.23","665.59","23.29","11.43","7.39","15.58","未檢出","3.45","未檢出","*","*"
"2016","4","10504009","水稻","隆昌段","6.15","5.05","25.70","171.17","3042.19","198.96","0.12","956.49","12.97","12.11","7.00","15.94","未檢出","5.41","未檢出","*","*"
"2016","4","10504010","水稻","水源段.新源段","6.16","2.87","33.13","147.25","3834.48","96.79","0.20","495.83","50.32","13.15","11.70","13.84","0.00","3.00","0.23","*","*"
"2016","4","10504011","水稻","隆昌段","6.14","3.87","36.38","160.15","1393.98","93.52","0.13","513.62","4.02","6.89","2.76","11.22","未檢出","1.56","未檢出","*","*"
"2016","4","10504012","釋迦","德安段","6.13","2.35","197.88","247.46","2106.35","195.58","0.07","422.04","53.94","6.29","5.71","*","*","*","*","*","*"
"2016","4","10504013","釋迦","德安段","5.98","2.10","148.73","238.86","1934.65","85.79","0.07","532.55","35.32","6.72","7.83","*","*","*","*","*","*"
"2016","4","10504014","釋迦","德安段","6.06","3.63","122.87","289.44","3801.15","234.85","0.15","109.64","104.12","3.92","8.48","*","*","*","*","*","*"
"2016","4","10504015","釋迦","德安段","6.09","4.73","211.17","439.79","4051.46","371.59","0.12","302.26","105.37","6.17","19.82","*","*","*","*","*","*"
"2016","4","10504016","紅龍果","利家","6.04","2.61","133.01","165.10","2681.46","164.09","0.10","178.82","68.33","15.40","24.82","*","*","*","*","*","*"
"2016","4","10504017","紅龍果","利家","5.96","1.82","102.76","115.46","1914.91","106.90","0.09","199.82","37.70","8.70","12.12","*","*","*","*","*","*"
"2016","4","10504018","釋迦","石壁","5.72","4.49","286.58","349.96","3213.09","168.53","0.08","358.83","79.61","2.66","31.92","*","*","*","*","*","*"
"2016","4","10504019","鳳梨釋迦","石壁","5.43","4.45","300.55","326.06","3135.05","171.41","0.13","381.46","64.90","3.26","29.97","*","*","*","*","*","*"
"2016","4","10504020","太陽蔴","農場","5.79","2.93","25.01","294.92","2268.97","146.62","0.09","317.28","9.57","8.18","8.42","*","*","*","*","*","*"
"2016","4","10504021","柑桔","豐航","6.07","0.83","10.49","118.02","991.20","131.56","0.03","74.02","25.45","1.11","2.15","*","*","*","*","*","*"
"2016","4","10504022","洛神花","本場試驗田","5.89","3.58","44.22","143.18","2909.00","106.74","0.13","399.70","2.24","10.01","4.02","*","*","*","*","*","*"
"2016","4","10504023","洛神花","本場試驗田","6.04","2.67","70.94","124.67","2748.66","97.24","0.10","651.68","3.03","9.39","3.91","*","*","*","*","*","*"
"2016","4","10504024","荖葉","豐谷北路","5.91","2.16","246.77","186.80","16777.32","784.39","2.23","97.53","103.23","11.64","49.12","*","*","*","*","*","*"
"2016","4","10504025","荖葉","豐谷北路","6.17","1.94","281.21","140.46","12280.56","565.80","1.19","108.38","93.48","14.32","50.98","*","*","*","*","*","*"
"2016","4","10504026","咖啡","青林段","*","*","*","*","*","*","*","*","*","*","*","5.12","未檢出","0.82","0.37","*","*"
"2016","4","10504027","咖啡","建華","7.15","2.24","313.22","279.62","2018.14","148.43","0.06","617.20","30.78","4.62","4.45","7.70","-0.01 ","1.07","0.83","*","*"
"2016","4","10504028","花卉","中華路4段","6.27","0.97","48.03","356.83","886.742*20","632.23","0.55","457.62","275.28","4.19","10.97","*","*","*","*","*","*"
"2016","4","10504029","花卉","中華路4段","6.27","0.93","63.60","319.86","708.701*20","548.96","0.58","497.18","258.03","3.87","6.78","*","*","*","*","*","*"
"2016","4","10504030","竹筍","澱粉段","6.74","2.92","67.48","188.57","2912.23","185.87","0.07","332.96","142.68","6.75","4.06","*","*","*","*","*","*"
"2016","4","10504031","綠竹筍","利家段","6.70","4.30","201.33","320.79","447.728*20","427.36","0.11","333.42","335.28","8.35","26.99","*","*","*","*","*","*"
"2016","4","10504032","老薑","利家段","6.77","2.73","32.11","84.46","457.194*20","506.72","0.10","752.51","384.98","7.18","7.98","*","*","*","*","*","*"
"2016","4","10504033","老薑","利家段","6.69","1.64","9.53","96.81","669.702*20","982.47","0.14","1823.65","17.786*20","6.74","10.31","*","*","*","*","*","*"
"2016","4","10504034","木瓜","下賓朗段","6.74","1.78","142.04","120.10","3094.53","184.10","0.06","262.92","125.87","4.89","18.82","*","*","*","*","*","*"
"2016","4","10504035","芭樂","北佳里段","6.83","2.04","166.01","278.68","4658.00","250.70","0.08","51.84","44.05","3.91","16.04","*","*","*","*","*","*"
"2016","4","10504036","番荔枝","北佳里段","6.79","1.65","38.44","217.91","2764.79","350.33","0.06","108.20","57.11","2.99","4.40","*","*","*","*","*","*"
"2016","4","10504037","番荔枝","康樂段","6.49","1.63","178.42","119.38","4610.19","182.33","0.18","336.69","105.15","8.29","23.17","*","*","*","*","*","*"
"2016","4","10504038","番荔枝","康樂段","6.56","1.98","309.37","142.86","335.865*20","186.30","0.11","313.14","109.88","8.02","22.86","*","*","*","*","*","*"
"2016","4","10504039","番荔枝","康樂段","6.63","1.15","102.00","99.02","468.441*20","201.67","0.10","300.72","179.36","5.40","8.48","*","*","*","*","*","*"
"2016","4","10504040","番荔枝","豐樂段","6.80","0.86","118.50","96.00","3972.01","132.13","0.06","228.92","106.04","5.78","10.82","*","*","*","*","*","*"
"2016","4","10504041","番荔枝","豐嘉段","6.71","1.05","39.00","65.23","328.767*20","152.89","0.08","310.68","131.01","5.90","4.94","*","*","*","*","*","*"
"2016","4","10504042","釋迦","建華段","6.46","3.17","74.50","375.51","2374.38","260.33","0.27","382.74","145.30","6.51","4.04","*","*","*","*","*","*"
"2016","4","10504043","釋迦","建華段","6.62","2.16","63.50","100.77","2465.66","137.96","0.07","544.66","65.62","8.46","3.31","*","*","*","*","*","*"
"2016","4","10504044"," 黃藤","高台段","6.49","4.88","27.00","223.02","6018.82","1014.02","0.18","113.22","128.94","8.56","33.63","*","*","*","*","*","*"
"2016","4","10504045","棉花","高台段","6.78","3.62","6.00","168.44","2885.94","950.35","0.05","153.62","129.64","4.41","4.15","*","*","*","*","*","*"
"2016","4","10504046","台灣香檬","利家段","6.47","3.78","23.50","180.33","1357.66","202.58","0.05","49.62","63.38","2.40","3.40","8.30","-0.02 ","1.15","-0.40 ","*","*"
"2016","4","10504047","","鹿野段","6.34","3.95","365.78","465.84","4137.81","188.68","0.10","272.28","121.55","7.74","18.43","*","*","*","*","*","*"
"2016","4","10504048","","鹿野段","6.46","2.40","280.23","261.43","3544.70","133.40","0.08","242.69","97.31","7.85","16.30","*","*","*","*","*","*"
"2016","4","10504049","","鹿野段","6.51","3.14","327.97","405.80","3469.82","167.52","0.08","347.52","103.59","7.49","13.27","*","*","*","*","*","*"
"2016","4","10504050","","鹿野段","6.44","2.82","367.23","380.11","3770.04","145.92","0.10","327.95","96.69","7.07","16.55","*","*","*","*","*","*"
"2016","4","10504051","","鹿野段","6.48","3.64","375.47","478.51","4439.43","190.14","0.09","334.18","123.78","7.34","14.92","*","*","*","*","*","*"
"2016","4","10504052","","鹿野段","6.46","3.44","345.63","403.36","3949.28","183.96","0.09","370.70","126.24","7.35","13.80","*","*","*","*","*","*"
"2016","4","10504053","","鹿野段","6.44","4.06","422.84","442.59","4508.41","209.52","0.11","302.14","142.67","8.01","20.26","*","*","*","*","*","*"
"2016","4","10504054","","鹿野段","6.44","2.87","299.00","520.02","2877.14","132.42","0.10","218.38","98.09","6.59","9.80","*","*","*","*","*","*"
"2016","4","10504055","","鹿野段","6.50","2.96","280.70","305.86","3653.53","147.06","0.10","212.64","132.39","7.78","18.62","*","*","*","*","*","*"
"2016","4","10504056","咖啡","東河 八里段","6.56","3.76","9.00","234.67","3098.57","767.71","0.08","170.00","67.69","1.92","3.59","5.32","-0.04 ","4.03","-0.11 ","*","*"
"2016","4","10504057","木鱉果","有機網室","6.83","3.99","82.74","205.69","4215.23","211.27","0.08","847.28","120.26","8.74","40.98","9.69","0.02","2.87","未檢出","*","*"
